48 208
14 29 198
22 46 180
31 46 178
8 9 72
20 41 196
43 45 63
9 47 7
10 19 190
23 44 153
8 19 40
29 40 120
15 24 152
24 44 16
20 44 48
1 4 100
7 39 65
43 46 106
31 38 138
3 41 123
4 6 101
6 47 74
27 47 29
4 44 176
26 41 26
15 22 122
6 38 65
8 35 175
26 32 1
1 30 30
1 3 3
35 42 14
32 39 0
4 47 188
15 46 170
34 35 150
6 13 78
6 17 102
3 22 132
23 33 135
17 35 179
23 25 159
25 33 201
11 25 157
11 13 143
5 33 165
30 36 40
39 42 76
1 8 8
20 47 108
33 46 62
1 17 17
10 14 140
23 39 105
31 36 57
19 39 117
4 39 67
16 24 176
32 43 128
35 43 49
10 15 184
17 21 149
3 17 51
36 43 92
29 45 57
7 29 203
19 21 43
5 13 65
17 43 107
25 32 69
17 22 90
13 43 143
13 34 26
11 31 15
11 18 26
6 24 144
4 30 120
12 46 136
21 23 67
8 43 136
22 47 203
25 35 43
17 18 98
26 28 52
1 45 14
1 6 6
30 33 86
6 15 90
15 48 167
28 29 188
44 46 152
1 42 42
24 26 0
16 47 61
24 34 192
6 27 162
22 35 146
32 41 64
12 31 3
3 32 96
38 46 67
16 19 96
22 31 58
5 20 100
6 46 23
12 21 44
10 11 110
32 42 96
18 27 70
37 38 158
25 42 10
18 38 73
22 34 107
28 31 36
21 27 151
18 43 150
10 26 52
8 26 0
2 32 64
14 33 46
1 19 19
11 14 154
18 26 52
46 47 179
4 18 154
5 7 190
25 43 35
25 48 160
6 41 38
6 16 96
33 37 181
7 26 150
9 36 48
10 31 30
1 34 117
27 37 167
13 14 182
2 41 82
1 46 46
21 34 90
5 16 80
2 36 72
45 46 198
22 40 48
34 36 184
42 45 18
5 30 12
15 42 6
7 37 51
14 43 186
13 21 65
11 27 89
28 36 176
3 39 109
9 39 100
7 31 9
8 27 8
8 10 80
8 11 54
38 44 164
5 28 140
4 48 192
40 43 56
25 44 60
5 35 173
3 43 129
18 45 174
17 44 124
16 36 80
6 40 32
29 32 61
10 33 122
19 23 39
26 35 78
25 27 51
28 30 8
29 36 4
23 30 33
8 12 205
9 31 71
23 28 199
17 48 192
24 48 112
7 21 4
24 27 41
3 11 33
13 24 104
12 33 201
31 34 14
6 44 56
18 25 48
20 38 136
19 40 136
26 46 14
10 28 72
27 38 194
3 4 12
12 15 180
4 42 168
12 34 200
31 41 177
2 30 60
15 37 139
2 29 87
1 44 44
5 31 155
17 27 43
8 22 176
6 39 26
10 42 4
9 26 26
22 26 156
32 48 80
2 9 18
41 47 55
1 39 39
10 21 2
35 39 117
3 46 205
7 12 84
21 40 8
12 22 52
24 25 145
16 43 64
9 37 125
2 21 10
20 23 44
7 43 93
37 41 61
18 37 42
21 28 22
1 15 15
5 22 110
13 28 156
4 21 84
30 42 12
14 30 4
3 24 72
28 40 80
21 25 109
6 19 114
16 45 96
15 34 152
11 41 14
8 33 56
1 40 40
7 24 168
7 30 2
45 47 35
23 26 182
22 41 70
11 22 34
29 33 125
39 41 143
26 27 118
7 40 72
36 41 172
20 30 184
12 20 32
9 35 107
19 34 101
29 42 178
8 42 128
6 37 14
18 39 116
10 27 62
22 36 148
14 19 58
9 44 188
13 30 182
19 29 65
7 33 206
13 35 159
30 38 100
5 27 135
13 37 65
35 45 119
11 46 90
39 46 16
37 44 172
21 39 195
1 23 200
22 42 92
17 32 34
33 36 148
3 12 162
6 23 138
3 25 75
23 36 204
17 31 111
3 35 105
39 44 52
2 34 189
10 12 120
20 28 144
34 37 10
9 23 207
33 40 0
5 44 12
28 33 92
16 44 80
26 36 104
16 32 96
4 27 108
35 41 187
10 45 34
40 42 98
29 35 183
3 13 39
14 36 88
16 35 144
1 43 43
30 48 192
25 36 68
16 23 160
8 13 104
7 11 77
12 18 77
5 21 105
26 33 97
16 42 48
31 39 169
25 47 105
3 45 135
20 39 43
22 23 1
9 20 180
42 48 144
5 15 75
19 26 78
18 30 124
28 45 12
15 45 51
2 33 66
5 18 90
6 20 78
12 41 65
1 33 115
3 29 87
31 48 32
6 28 194
16 38 192
25 30 156
10 18 147
18 41 114
25 39 143
32 36 112
21 24 110
19 32 192
4 13 52
1 25 25
13 19 39
11 35 124
15 39 66
3 27 200
14 22 207
18 33 178
10 16 160
11 34 166
8 14 75
35 37 47
34 44 40
20 43 28
5 47 27
33 48 125
21 35 111
19 31 173
9 24 8
23 24 136
7 34 117
25 38 118
11 44 68
36 40 192
32 46 16
22 30 36
42 43 142
14 26 156
5 36 180
11 38 2
4 16 64
10 41 148
28 37 204
30 41 190
23 47 41
21 22 46
10 36 152
8 18 144
29 41 149
22 33 102
38 48 160
36 42 56
16 22 144
1 20 20
5 45 28
9 46 206
9 25 17
2 19 38
20 24 122
10 20 200
2 42 84
8 20 57
14 32 32
3 40 120
17 33 145
3 37 111
3 26 40
29 39 91
17 24 77
17 30 94
3 10 30
8 15 120
30 39 18
13 27 45
19 30 154
40 45 136
5 48 32
1 48 48
38 40 64
11 37 199
8 34 64
30 32 178
23 48 64
39 47 88
28 38 24
14 31 160
39 43 158
18 29 106
14 23 56
4 29 116
21 31 27
25 26 26
12 42 88
12 45 13
18 42 132
2 25 50
8 17 136
16 30 64
19 38 39
33 34 82
47 48 139
13 31 195
5 24 120
27 35 113
9 42 170
23 27 205
20 40 176
12 43 100
23 29 43
13 25 137
19 33 3
21 47 155
27 40 40
9 34 98
31 32 160
14 45 160
21 48 176
35 36 12
8 37 88
7 23 31
9 18 162
1 22 22
13 38 78
21 29 67
10 47 54
19 24 40
23 32 112
1 41 41
42 47 102
5 39 32
7 47 121
24 30 96
7 18 43
29 30 38
4 24 96
13 22 157
33 43 171
22 28 200
13 41 117
2 10 20
26 30 45
2 3 6
12 40 64
24 41 152
2 5 12
10 29 82
17 46 158
5 25 125
28 43 164
24 47 88
18 22 188
34 41 146
27 31 5
2 46 104
31 44 116
21 32 51
17 19 115
19 44 183
3 19 57
16 41 83
17 41 165
3 31 151
1 32 32
10 32 112
35 46 154
24 35 206
5 32 160
1 16 16
30 37 70
16 17 64
42 46 201
3 42 126
28 41 108
15 17 47
6 32 70
20 37 116
3 36 108
36 45 137
15 20 92
26 29 130
13 39 91
11 16 176
28 42 136
8 38 109
24 32 203
8 48 176
22 37 190
28 34 120
2 12 115
23 43 157
17 23 192
20 34 56
24 31 120
3 21 44
39 48 0
1 35 35
4 12 48
12 32 176
2 31 121
14 20 117
18 31 142
6 18 106
24 46 85
19 22 2
30 35 10
16 37 176
9 12 108
5 14 70
22 45 158
27 29 39
17 38 22
1 10 189
7 16 39
10 24 32
32 38 162
3 14 146
6 34 204
16 40 76
16 39 0
13 44 102
11 33 155
14 42 172
18 20 152
11 32 144
10 46 44
16 33 112
4 28 112
